labels_key,labels_value,execution_type,spark_loader,cores,memory,disk_space,persisient,sku_description,cost,time
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,32,60,750,x,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,4,26,375,x,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,2,13,750,p,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,8,15,750,p,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,32,60,375,p,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,16,7,750,p,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,2,7,375,p,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,8,30,375,p,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,16,30,750,x,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,16,30,375,x,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,2,7,750,x,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,16,15,750,p,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,32,60,750,p,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,32,104,375,x,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,16,30,375,p,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,8,30,375,x,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,32,208,375,x,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,16,15,375,p,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,16,15,375,x,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,16,15,375,x,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,8,52,750,p,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,32,30,375,p,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,4,26,375,x,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,32,30,375,x,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,16,104,375,p,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,32,208,375,p,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,32,30,375,p,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,16,60,750,x,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,32,208,750,x,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,4,15,375,p,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,16,7,375,p,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,16,30,375,p,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,32,30,750,p,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,16,60,375,x,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,16,104,375,p,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,8,15,375,p,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,8,52,375,x,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,32,104,375,p,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,16,60,750,p,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,4,15,375,p,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,2,7,375,x,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,16,15,375,p,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,32,60,375,x,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,2,13,375,p,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,8,52,375,x,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,2,7,375,x,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,32,104,750,p,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,16,7,375,x,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,2,7,375,p,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,32,15,375,x,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,8,52,375,p,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,4,26,375,p,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,4,15,375,x,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,32,60,750,x,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,16,60,375,x,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,16,30,375,x,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,32,60,375,p,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,8,15,375,x,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,16,60,375,p,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,32,15,375,p,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,16,60,375,p,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,16,7,750,p,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,32,60,750,p,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,4,26,375,p,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,8,30,375,x,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,32,104,375,p,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,32,208,375,p,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,16,104,375,x,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,8,15,375,x,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,2,13,375,p,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,4,15,375,x,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,8,52,375,p,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,16,104,375,x,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,4,26,750,x,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,2,13,750,x,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,2,13,375,x,Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,2,13,750,p,Network Internet Egress from Americas to APAC,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,4,26,375,x,Network Internet Egress from Americas to APAC,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,16,7,375,x,Network Internet Egress from Americas to APAC,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,8,15,375,p,Network Internet Egress from Americas to APAC,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,2,13,750,p,Network Internet Egress from Americas to APAC,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,32,104,375,x,Network Internet Egress from Americas to APAC,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,16,104,375,p,Network Internet Egress from Americas to APAC,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,16,15,375,x,Network Internet Egress from Americas to APAC,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,4,26,750,x,Network Internet Egress from Americas to APAC,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,16,30,750,x,Network Internet Egress from Americas to APAC,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,32,208,375,x,Network Internet Egress from Americas to APAC,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,8,30,375,p,Network Internet Egress from Americas to APAC,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,4,15,750,p,Network Internet Egress from Americas to APAC,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,32,104,375,x,Network Internet Egress from Americas to APAC,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,32,60,375,p,Network Internet Egress from Americas to APAC,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,32,60,750,x,Network Internet Egress from Americas to APAC,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,2,7,750,x,Network Internet Egress from Americas to APAC,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,2,13,375,x,Network Internet Egress from Americas to APAC,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,32,15,375,x,Network Internet Egress from Americas to APAC,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,4,26,375,p,Network Internet Egress from Americas to APAC,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,2,13,375,p,Network Internet Egress from Americas to APAC,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,4,26,750,x,Network Internet Egress from Americas to APAC,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,4,15,375,p,Network Internet Egress from Americas to APAC,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,16,7,375,x,Network Internet Egress from Americas to APAC,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,16,60,375,x,Network Internet Egress from Americas to APAC,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,2,13,375,p,Network Internet Egress from Americas to APAC,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,8,30,375,x,Network Internet Egress from Americas to APAC,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,16,104,375,p,Network Internet Egress from Americas to APAC,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,8,52,375,p,Network Internet Egress from Americas to APAC,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,32,60,375,x,Network Internet Egress from Americas to APAC,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,16,60,750,p,Network Internet Egress from Americas to APAC,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,32,60,750,p,Network Internet Egress from Americas to APAC,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,2,7,375,x,Network Internet Egress from Americas to APAC,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,32,208,750,x,Network Internet Egress from Americas to APAC,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,16,104,375,x,Network Internet Egress from Americas to APAC,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,16,7,750,p,Network Internet Egress from Americas to APAC,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,2,13,750,x,Network Internet Egress from Americas to APAC,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,8,52,375,p,Network Internet Egress from Americas to APAC,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,4,15,375,p,Network Internet Egress from Americas to APAC,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,16,30,375,x,Network Internet Egress from Americas to APAC,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,4,15,750,p,Network Internet Egress from Americas to EMEA,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,8,15,750,p,Network Internet Egress from Americas to EMEA,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,2,7,375,p,Network Internet Egress from Americas to EMEA,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,16,60,750,x,Network Internet Egress from Americas to EMEA,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,16,15,375,x,Network Internet Egress from Americas to EMEA,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,4,26,750,x,Network Internet Egress from Americas to EMEA,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,32,208,375,x,Network Internet Egress from Americas to EMEA,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,2,13,750,p,Network Internet Egress from Americas to EMEA,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,32,60,750,p,Network Internet Egress from Americas to EMEA,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,32,104,375,x,Network Internet Egress from Americas to EMEA,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,32,30,375,x,Network Internet Egress from Americas to EMEA,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,disq,16,30,375,x,Network Internet Egress from Americas to EMEA,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name",cromwell-aa545b5a-4108-43ee-af6a-031732987738,newtool,hadoopbam,32,30,375,x,Network Internet Egress from Americas to EMEA,0,
